Hard-mn	Soft-mn	Hard-mb	Soft-mb
0.0095	0.0064	0.0952	0.0476
0.1476	0.0892	0.6667	0.3810
0.0810	0.1146	0.4286	0.3810
0.0333	0.1338	0.1429	0.4286
0.0095	0.1019	0.0952	0.2381
0.0238	0.0064	0.1905	0.0476
0.1381	0.1083	0.5238	0.5238
0.0714	0.0318	0.3333	0.1905
0.0286	0.0255	0.1905	0.1905
0.0095	0.0191	0.0952	0.0952
0.0286	0.0191	0.1429	0.1429
0.1381	0.0446	0.4286	0.1905
0.1000	0.1656	0.5238	0.5714
0.0143	0.0191	0.1429	0.0952
0.0333	0.0382	0.2857	0.1905
0.0095	0.0191	0.0952	0.0952
0.0143	0.0064	0.1429	0.0476
0.0762	0.0191	0.2381	0.1429
0.0048	0.0064	0.0476	0.0476
0.0286	0.0255	0.2381	0.1429
