Word	value
the	194538
of	112015
and	78076
a	68221
in	66115
to	54402
wikipedia	48064
is	41517
by	34219
was	29447
for	27316
on	26888
from	20102
edit	19900
this	18698
as	18150
with	16815
1	15601
about	15209
user	14918
3	14840
it	14397
page	13500
he	12879
free	12765
that	12646
at	12399
registered	12237
2	11901
all	10635
his	10466
help	10308
if	9858
an	9677
see	9636
^	8992
c	8650
under	7946
u	7942
window	7933
contents	7870
or	7830
are	7806
2008	7769
also	7482
be	7430
main	7351
4	7103
work	7089
last	7042
community	7010
current	6990
categories:	6864
based	6847
which	6691
available	6590
events	6586
text	6510
featured	6449
new	6446
inc	6390
recent	6374
changes	6351
terms	6335
search	6315
foundation	6309
portal	6269
encyclopedia	6255
details	6245
content	6224
wikimedia	6218
were	6211
views	6176
contact	6175
license	6146
modified	6142
charity	6130
may	6129
interaction	6117
navigation	6104
revision	6084
has	6078
trademark	6077
501	6067
documentation	6065
gnu	6062
nonprofit	6058
donate	6050
copyrights	6046
tax-deductible	6044
wikipedia®	6043
disclaimers	6043
ismsie55	6043
fixalpha	6043
articlediscussioncurrent	6043
article	5952
5	5892
you	5549
can	5538
2007	5510
i	5308
not	5256
first	5136
one	4999
6	4919
1992	4725
but	4581
united	4568
had	4533
who	4531
their	4518
other	4461
references	4349
its	4327
7	4197
links	4154
have	4149
external	4067
they	3989
d	3978
after	3930
e	3917
anonymous	3907
2006	3755
her	3655
var	3599
showtoctoggle	3560
states	3544
two	3501
8	3474
she	3361
0	3358
when	3342
been	3327
time	3315
no	3315
city	3300
people	3290
9	3234
national	3223
de	3213
expanding	3197
school	3147
show	3143
world	3075
american	3065
stub	3051
10	3027
articles	3001
state	2998
retrieved	2983
there	2976
v	2947
june	2918
more	2909
into	2871
history	2862
languages	2849
county	2836
stubs	2813
university	2794
april	2757
only	2735
john	2724
years	2707
b	2634
march	2568
most	2536
12	2514
during	2507
2005	2472
11	2445
up	2419
m	2407
name	2399
over	2385
some	2342
south	2322
war	2305
north	2304
january	2275
2004	2268
used	2254
out	2249
many	2241
series	2233
2000	2227
area	2202
year	2193
list	2166
him	2141
since	2123
film	2094
such	2083
13	2078
music	2059
order	2043
team	2023
where	1999
later	1995
j	1990
west	1988
born	1980
18	1969
would	1936
will	1934
known	1924
st	1923
14	1915
december	1907
smackbot	1897
february	1895
part	1893
game	1891
york	1888
p	1870
league	1857
15	1856
october	1831
between	1821
college	1816
hide	1814
high	1808
sources	1808
then	1800
:	1791
three	1787
16	1786
tochidetext	1780
cdata	1780
tocshowtext	1780
season	1774
20	1769
east	1768
being	1757
district	1744
house	1714
september	1709
made	1708
november	1701
than	1697
2003	1695
album	1679
party	1678
however	1678
group	1677
august	1668
these	1667
com	1664
park	1661
second	1661
while	1659
life	1637
2001	1623
age	1619
general	1616
football	1613
british	1613
family	1596
through	1590
early	1590
them	1581
same	1580
ii	1579
population	1579
english	1578
july	1576
2002	1575
became	1572
25	1558
000	1556
any	1553
before	1550
both	1548
place	1538
river	1524
now	1518
town	1514
17	1472
station	1461
international	1457
24	1452
service	1449
club	1446
21	1439
including	1436
living	1435
website	1431
number	1431
isbn	1428
home	1424
30	1419
information	1417
system	1416
well	1407
19	1405
so	1400
until	1396
government	1393
released	1393
km²	1391
country	1385
best	1380
la	1369
major	1367
r	1365
22	1359
against	1352
official	1348
king	1343
several	1330
called	1319
company	1307
location	1303
1999	1302
david	1297
use	1293
members	1286
career	1283
players	1276
g	1275
air	1261
23	1260
television	1254
song	1251
public	1249
book	1245
end	1241
26	1239
each	1232
games	1229
center	1228
point	1221
church	1214
back	1210
27	1197
century	1195
played	1190
1998	1183
death	1182
link	1178
28	1177
george	1169
w	1163
england	1159
san	1156
like	1153
band	1152
geography	1151
four	1145
old	1144
because	1144
h	1140
found	1140
great	1135
original	1134
kingdom	1133
lake	1126
day	1125
division	1123
london	1122
former	1121
local	1119
live	1112
line	1110
james	1108
radio	1104
following	1104
press	1101
news	1100
french	1097
births	1096
man	1095
class	1091
times	1088
located	1082
road	1080
small	1079
member	1079
canada	1073
f	1073
uk	1072
species	1072
political	1070
white	1070
related	1067
1996	1066
player	1065
very	1062
1997	1057
total	1054
please	1053
german	1052
do	1045
what	1042
power	1039
site	1039
robert	1037
us	1027
films	1024
army	1022
education	1020
rock	1018
around	1013
date	1012
title	1006
left	1005
island	1004
29	1004
deutsch	1001
william	1001
another	996
military	995
won	994
records	993
paul	988
single	986
village	985
long	981
building	980
www	977
n	974
central	973
health	966
named	963
france	961
street	961
although	956
red	955
love	955
battle	950
français	949
we	947
those	947
did	947
michael	947
germany	944
black	943
1990	943
science	942
mi	937
version	934
even	930
human	930
could	929
31	925
1995	917
l	917
law	916
still	914
final	911
died	911
record	906
1993	905
story	904
texas	903
short	898
california	898
royal	898
held	897
often	897
1994	894
media	889
large	889
cup	888
within	886
does	886
water	885
1991	879
president	879
section	879
way	874
union	874
t	874
australia	873
top	872
young	867
movie	866
albums	865
led	863
land	863
km	862
began	861
son	860
much	858
due	858
own	856
published	853
charles	851
development	836
along	836
third	834
set	833
art	831
force	829
disambiguation	828
http:	824
head	824
down	824
just	818
here	816
hall	814
association	814
regulations	814
office	813
canadian	813
biography	811
tv	810
1989	807
near	807
little	803
department	803
birth	803
sq	802
improve	801
me	800
western	800
100	800
european	799
america	798
language	797
video	795
side	793
alaibot	791
act	790
students	789
works	789
field	788
my	788
council	785
washington	782
off	780
further	777
code	776
bot	774
thomas	773
aircraft	773
built	772
australian	772
form	771
lists	771
took	769
award	768
again	767
nederlands	767
census	766
1988	766
track	764
research	761
present	760
written	754
change	754
play	752
books	752
children	749
region	745
republic	744
position	742
1986	737
different	736
richard	733
india	732
every	731
five	731
established	729
needed	729
championship	727
northern	727
make	722
1987	721
henry	720
lacking	719
episode	719
among	718
al	718
lead	717
next	717
schools	717
served	715
modern	714
type	712
character	710
lost	709
round	706
italiano	704
include	702
summer	702
1985	701
hill	700
full	699
awards	699
japanese	698
unsourced	698
notes	698
